Name,URL
Ethereum,https://dyor-crypto.fandom.com/wiki/Ethereum_(ETH)
Polygon,https://en.wikipedia.org/wiki/Polygon_(blockchain)
Binance SmartChain,https://dyor-crypto.fandom.com/wiki/Binance
Bitcoin,https://dyor-crypto.fandom.com/wiki/Bitcoin_(BTC)
Cronos,https://www.investopedia.com/terms/m/monaco-mco-cryptocurrency.asp
Arbitrum,https://dyor-crypto.fandom.com/wiki/Arbitrum
Optimism,https://dyor-crypto.fandom.com/wiki/Optimism
Fantom,https://golden.com/wiki/Fantom_Foundation-EAKNEGN
Avalanche,https://en.wikipedia.org/wiki/Avalanche_(blockchain_platform)
Bitcoin Cash,https://en.wikipedia.org/wiki/Bitcoin_Cash
Wanchain,https://en.bitcoinwiki.org/wiki/Wanchain
Iotex,https://en.bitcoinwiki.org/wiki/IoTeX
Zilliqa,https://golden.com/wiki/Zilliqa-EAVDZMA
klaytn,https://golden.com/wiki/Klaytn-8ABKWW8
Fuse Mainnet,https://golden.com/wiki/Fuse_Network-P4P5AD4
Bit torrent,https://en.wikipedia.org/wiki/BitTorrent
Velas,https://golden.com/wiki/Velas-3V54865
